Product Name,Product Description,Markup,HSN,Alert Quantity
Bandhani Dress,Bandhani Dress,40,342243,5
Rajasthani Dress,Rajasthani Dress,1000,HSN90,10
Pen,Pen1,200,H901,10
khaddar,khaddar,0,551,0
camiseta,alex,0,1,100
Test,tt,0,123,0
Test,Test,10,111,10
50kg Ashaka Cement,Cement,0,0,50
LV Wallet,LV Wallet,50,10,5
sasd,sadasd,10,232323,1
Potato,best quality potato ,0.6,fds,1.2
Reel,asas,12,121212,1
18 inç Jant,Jant,0,1234,5
Vinyl Ball,Vinyl Ball,1,TT VNB,10
OD Fan,od Fan,13,1120,0
NUTELLA,Premium Chocolate Spread,10,1200,100
DELL KEYBOARD USB,COMPUTER ACCESSORIES,0,84716040,0
